,NAME,Bowling style,Balls Bowled,Wickets Taken,Runs Conceded,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
431,RD Gaikwad,Right-arm offbreak,0,0,0,,,0.0
432,RD Chahar,Legbreak googly,642,30,808,26.933333333333334,21.4,7.5514018691588785
433,PP Shaw,Right-arm offbreak,0,0,0,,,0.0
434,Shubman Gill,Right-arm offbreak,0,0,0,,,0.0
435,PK Garg,Right-arm medium,0,0,0,,,0.0
436,Abhishek Sharma,Slow left-arm orthodox,0,0,0,,,0.0
437,KL Nagarkoti,Right-arm fast,156,5,233,46.6,31.2,8.961538461538462
438,R Parag,Legbreak,96,2,148,74.0,48.0,9.25
439,SS Agarwal,Legbreak googly,24,1,42,42.0,24.0,10.5
440,AS Roy,Slow left-arm orthodox,12,1,11,11.0,12.0,5.5
441,Manjot Kalra,Right-arm bowler,0,0,0,,,0.0
442,Shivam Mavi,Right-arm fast-medium,0,0,0,,,0.0
443,Tajinder Singh,Right-arm offbreak,0,0,0,,,0.0
444,Manzoor Dar,Right-arm offbreak,0,0,0,,,0.0
445,M Markande,Legbreak,300,16,435,27.1875,18.75,8.7
446,Tejas Baroka,Legbreak googly,0,0,0,,,0.0
447,KM Asif,Right-arm medium,0,0,0,,,0.0
448,K Khejroliya,Left-arm medium-fast,95,3,157,52.333333333333336,31.666666666666668,9.91578947368421
449,Ankit Soni,Legbreak,0,0,0,,,0.0
450,Pratham Singh,Right-arm offbreak,0,0,0,,,0.0
451,Agnivesh Ayachi,Right-arm medium,0,0,0,,,0.0
452,CV Varun,Legbreak googly,0,0,0,,,0.0
453,Darshan Nalkande,Right-arm fast-medium,0,0,0,,,0.0
454,D Padikkal,Right-arm offbreak,0,0,0,,,0.0
455,Y Prithvi Raj,Left-arm medium,0,0,0,,,0.0
456,Kartik Tyagi,Right-arm medium-fast,0,0,0,,,0.0
457,Arshdeep Singh,Left-arm medium-fast,209,12,336,28.0,17.416666666666668,9.645933014354068
458,Aryaman Birla,Slow left-arm orthodox,0,0,0,,,0.0
459,S Midhun,Legbreak googly,12,0,29,inf,inf,14.5
460,Mohsin Khan,Left-arm medium-fast,0,0,0,,,0.0
461,YBK Jaiswal,,0,0,0,,,0.0
462,Shahbaz Ahmed,Slow left-arm orthodox,0,0,0,,,0.0
463,P Ray Barman,Legbreak googly,0,0,0,,,0.0
464,P Simran Singh,,0,0,0,,,0.0
465,Rasikh Salam,Right-arm medium,0,0,0,,,0.0
466,Harpreet Brar,Slow left-arm orthodox,0,0,0,,,0.0
467,Ravi Bishnoi,Legbreak googly,0,0,0,,,0.0
468,Abdul Samad,Legbreak,0,0,0,,,0.0
