,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
381,Phillip Hughes,Australia,Phillip Joel Hughes,"['Australia,', 'Australia A,', 'Australia Under-19s,', 'East Torrens,', 'Hampshire,', 'Middlesex,', 'Mumbai Indians,', 'New South Wales,', 'New South Wales Under-19s,', 'South Australia,', 'Western Suburbs,', 'Worcestershire']",Left-hand bat,,PJ Hughes,1,Left,Right,
382,MR Marsh,Australia,Mitchell Ross Marsh,"['Australia,', 'Australia A,', 'Deccan Chargers,', 'Fremantle,', 'Perth Scorchers,', 'Pune Warriors,', 'Rising Pune Supergiants,', 'Western Australia,', 'Western Australia Second XI,', 'Western Australia Under-19s']",Right-hand bat,Right-arm medium,MR Marsh,1,Right,Right,medium
383,JL Pattinson,Australia,James Lee Pattinson,"['Australia,', 'Australia A,', 'Australia Under-19s,', 'Brisbane Heat,', 'Dandenong,', 'Kolkata Knight Riders,', 'Melbourne Renegades,', 'Victoria,', 'Victoria Under-19s']",Left-hand bat,Right-arm fast-medium,JL Pattinson,1,Left,Right,medium
384,JP Behrendorff,Australia,Jason Paul Behrendorff,"['Australia,', 'Australian Capital Territory Under-19s,', 'Mumbai Indians,', 'Perth Scorchers,', 'Tuggeranong Valley,', 'Western Australia,', 'Western Australia Under-23s']",Right-hand bat,Left-arm fast-medium,JP Behrendorff,1,Right,Left,medium
385,DP Vijaykumar,India,David Paidikalva Vijaykumar,"['Andhra,', 'Deccan Chargers']",Right-hand bat,Right-arm medium,DP Vijaykumar,0,Right,Right,medium
386,R Sharma,India,Rahul Sharma,"['India,', 'Chennai Super Kings,', 'Deccan Chargers,', 'Delhi Daredevils,', 'India A,', 'Pune Warriors,', 'Punjab']",Right-hand bat,Legbreak googly,R Sharma,0,Right,Right,leg
387,SMSM Senanayake,Sri Lanka,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,"['Sri Lanka,', 'Basnahira Greens,', 'Brothers Union,', 'Kolkata Knight Riders,', 'Ruhuna,', 'Sinhalese Sports Club,', 'Sri Lanka A,', ""Sri Lanka Board President's XI""]",Right-hand bat,Right-arm offbreak,SMSM Senanayake,1,Right,Right,off
388,Ganesh Gaikwad,India,Ganesh Babanrao Gaikwad,"['Maharashtra,', 'Pune Warriors']",Right-hand bat,Right-arm offbreak,GB Gaikwad,0,Right,Right,off
389,N Saini,India,Nitin Saini,"['Haryana,', 'Kings XI Punjab']",Right-hand bat,,N Saini,0,Right,Right,
390,AB Barath,West Indies,Adrian Boris Barath,"['West Indies,', 'Kings XI Punjab,', 'Trinidad & Tobago,', 'Trinidad & Tobago Red Steel,', 'West Indies Under-19s']",Right-hand bat,Right-arm offbreak,AB Barath,1,Right,Right,off
